Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
L_LED519,-51.6388,62.6312,BottomLayer,-90
L_LED520,-56.6388,62.6312,BottomLayer,-90
L_LED521,-61.6388,62.6312,BottomLayer,-90
L_LED522,-66.6388,62.6312,BottomLayer,-90
L_LED523,-71.6388,62.6312,BottomLayer,-90
L_LED524,-76.6388,62.6312,BottomLayer,-90
L_LED525,-76.6312,67.6388,BottomLayer,90
L_LED526,-71.6312,67.6388,BottomLayer,90
L_LED527,-66.6312,67.6388,BottomLayer,90
L_LED528,-61.6312,67.6388,BottomLayer,90
L_LED529,-56.6312,67.6388,BottomLayer,90
L_LED530,-51.6312,67.6388,BottomLayer,90
L_LED531,-46.6312,67.6388,BottomLayer,90
L_LED532,-41.6312,67.6388,BottomLayer,90
L_LED533,-36.6312,67.6388,BottomLayer,90
L_LED534,-31.6312,67.6388,BottomLayer,90
L_LED535,-26.6312,67.6388,BottomLayer,90
L_LED536,-21.6312,67.6388,BottomLayer,90
L_LED537,-16.6312,67.6388,BottomLayer,90
L_LED538,-11.6312,67.6388,BottomLayer,90
L_LED539,-21.6388,72.6312,BottomLayer,-90
L_LED540,-26.6388,72.6312,BottomLayer,-90
L_LED541,-31.6388,72.6312,BottomLayer,-90
L_LED542,-36.6388,72.6312,BottomLayer,-90
L_LED543,-41.6388,72.6312,BottomLayer,-90
L_LED544,-46.6388,72.6312,BottomLayer,-90
L_LED545,-51.6388,72.6312,BottomLayer,-90
L_LED546,-56.6388,72.6312,BottomLayer,-90
L_LED547,-61.6388,72.6312,BottomLayer,-90
L_LED548,-66.6388,72.6312,BottomLayer,-90
L_LED549,-71.6388,72.6312,BottomLayer,-90
L_LED550,-76.6388,72.6312,BottomLayer,-90
L_LED551,-76.6312,77.6388,BottomLayer,90
L_LED552,-71.6312,77.6388,BottomLayer,90
L_LED553,-66.6312,77.6388,BottomLayer,90
L_LED554,-61.6312,77.6388,BottomLayer,90
L_LED555,-56.6312,77.6388,BottomLayer,90
L_LED556,-51.6312,77.6388,BottomLayer,90
L_LED557,-46.6312,77.6388,BottomLayer,90
L_LED558,-41.6312,77.6388,BottomLayer,90
L_LED559,-36.6312,77.6388,BottomLayer,90
L_LED560,-46.6388,82.6312,BottomLayer,-90
L_LED561,-51.6388,82.6312,BottomLayer,-90
L_LED562,-56.6388,82.6312,BottomLayer,-90
L_LED563,-61.6388,82.6312,BottomLayer,-90
L_LED564,-66.6388,82.6312,BottomLayer,-90
L_LED565,-71.6388,82.6312,BottomLayer,-90
L_LED566,-76.6388,82.6312,BottomLayer,-90
L_LED567,-76.6312,87.6388,BottomLayer,90
L_LED568,-71.6312,87.6388,BottomLayer,90
L_LED569,-66.6312,87.6388,BottomLayer,90
L_LED570,-61.6312,87.6388,BottomLayer,90
L_LED571,-71.6388,92.6312,BottomLayer,-90
