Designator,Mid X,Mid Y,Layer,Rotation
LED314,154.6312,123.6388,Top,180
LED315,149.6312,123.6388,Top,180
LED316,144.6312,123.6388,Top,180
LED317,139.6312,123.6388,Top,180
LED318,134.6312,123.6388,Top,180
LED319,129.6312,123.6388,Top,180
LED320,139.6388,128.6312,Top,0
LED321,144.6388,128.6312,Top,0
LED322,149.6388,128.6312,Top,0
LED323,154.6388,128.6312,Top,0
LED324,159.6388,128.6312,Top,0
LED325,164.6388,128.6312,Top,0
LED326,169.6388,128.6312,Top,0
LED327,174.6388,128.6312,Top,0
LED328,179.6388,128.6312,Top,0
LED329,184.6388,128.6312,Top,0
LED330,189.6388,128.6312,Top,0
LED331,194.6388,128.6312,Top,0
LED332,199.6388,128.6312,Top,0
LED333,194.6312,133.6388,Top,180
LED334,189.6312,133.6388,Top,180
LED335,184.6312,133.6388,Top,180
LED336,179.6312,133.6388,Top,180
LED337,174.6312,133.6388,Top,180
LED338,169.6312,133.6388,Top,180
LED339,164.6312,133.6388,Top,180
LED340,159.6312,133.6388,Top,180
LED341,154.6312,133.6388,Top,180
LED342,169.6388,138.6312,Top,0
LED343,174.6388,138.6312,Top,0
LED344,179.6388,138.6312,Top,0
LED345,184.6388,138.6312,Top,0
LED346,189.6388,138.6312,Top,0
LED347,68.6388,28.6312,Top,0
LED348,73.6388,28.6312,Top,0
LED349,78.6388,28.6312,Top,0
LED350,83.6388,28.6312,Top,0
LED351,88.6388,28.6312,Top,0
LED352,93.6388,28.6312,Top,0
LED353,98.6388,28.6312,Top,0
LED354,103.6388,28.6312,Top,0
LED355,108.6388,28.6312,Top,0
LED356,113.6388,28.6312,Top,0
LED357,118.6312,33.6388,Top,180
LED358,113.6312,33.6388,Top,180
LED359,108.6312,33.6388,Top,180
LED360,103.6312,33.6388,Top,180
LED361,98.6312,33.6388,Top,180
LED362,93.6312,33.6388,Top,180
LED363,88.6312,33.6388,Top,180
LED364,83.6312,33.6388,Top,180
LED365,78.6312,33.6388,Top,180
LED366,73.6312,33.6388,Top,180
LED367,68.6312,33.6388,Top,180
LED368,63.6312,33.6388,Top,180
LED369,63.6388,38.6312,Top,0
LED370,68.6388,38.6312,Top,0
LED371,73.6388,38.6312,Top,0
LED372,78.6388,38.6312,Top,0
LED373,83.6388,38.6312,Top,0
LED374,88.6388,38.6312,Top,0
LED375,93.6388,38.6312,Top,0
LED376,98.6388,38.6312,Top,0
LED377,103.6388,38.6312,Top,0
LED378,108.6388,38.6312,Top,0
LED379,113.6388,38.6312,Top,0
